log_date log_time id url status start end size err
2021/03/03 23:49:56 8079c961 ted.com 200 1614844194286611000 1614844196016673000 206772 <nil>
2021/03/03 23:49:56 349e756f themeforest.net 200 1614844194286344000 1614844195984707000 493837 <nil>
2021/03/03 23:49:56 cf9a407f live.com 200 1614844194286314000 1614844196040580000 36621 <nil>
2021/03/03 23:49:56 0ad7140a bing.com 200 1614844194286616000 1614844196004888000 68348 <nil>
2021/03/03 23:49:56 d26623b8 msn.com 200 1614844194286534000 1614844196069936000 49747 <nil>
2021/03/03 23:49:56 99a19bb5 sites.google.com 200 1614844194286741000 1614844196069864000 72244 <nil>
2021/03/03 23:49:56 6bf4f3f8 researchgate.net 200 1614844194286666000 1614844196088235000 36583 <nil>
2021/03/03 23:49:56 81fe6d22 aol.com 200 1614844194286572000 1614844196026292000 930194 <nil>
2021/03/03 23:49:56 62000e0c github.io 200 1614844194286649000 1614844196115817000 14374 <nil>
2021/03/03 23:49:56 c78fa4d4 maps.google.com 200 1614844194286293000 1614844196119454000 45571 <nil>
2021/03/03 23:49:56 73f4ce90 mit.edu 200 1614844194286649000 1614844196137335000 35205 <nil>
2021/03/03 23:49:56 b410a32a goo.gl 200 1614844194286295000 1614844196115854000 243532 <nil>
2021/03/03 23:49:56 eb2fe42b bloomberg.com 200 1614844194286699000 1614844196163448000 10940 <nil>
2021/03/03 23:49:56 02c143b7 usatoday.com 200 1614844194286411000 1614844196180434000 140659 <nil>
2021/03/03 23:49:56 e2e92fd9 hugedomains.com 200 1614844194286597000 1614844196187635000 20010 <nil>
2021/03/03 23:49:56 656c1913 forbes.com 200 1614844194286539000 1614844196180397000 415360 <nil>
2021/03/03 23:49:56 d11aaa41 cnn.com 200 1614844194286715000 1614844196180395000 1129343 <nil>
2021/03/03 23:49:56 db813a6e opera.com 200 1614844194286675000 1614844196227146000 87745 <nil>
2021/03/03 23:49:56 90199e53 wired.com 200 1614844194286579000 1614844196187655000 742196 <nil>
2021/03/03 23:49:56 7ea185ee support.microsoft.com 200 1614844194286527000 1614844196280869000 117386 <nil>
2021/03/03 23:49:56 c2dd25c1 eventbrite.com 200 1614844194286414000 1614844196305041000 279543 <nil>
2021/03/03 23:49:56 f174f1a8 nginx.com 200 1614844194286589000 1614844196331726000 99262 <nil>
2021/03/03 23:49:56 fb433eb6 wix.com <nil> 1614844194286675000 1614844196357692000 <nil> Get "https://www.wix.com/": stream error: stream ID 1; INTERNAL_ERROR
2021/03/03 23:49:56 fbaeec39 apps.apple.com 200 1614844194286582000 1614844196350271000 150121 <nil>
2021/03/03 23:49:56 da931380 mysql.com 200 1614844194286456000 1614844196362922000 27784 <nil>
2021/03/03 23:49:56 0d9ffd86 ec.europa.eu 200 1614844194286736000 1614844196380082000 7506 <nil>
2021/03/03 23:49:56 529435d1 linkedin.com 200 1614844194286300000 1614844196401496000 81656 <nil>
2021/03/03 23:49:56 a64effbc stanford.edu 200 1614844194286687000 1614844196436286000 72269 <nil>
