id url statusCode startTime endTime size
167 i1.wp.com 400 1614308347530762000 1614308347904542000 49
163 i0.wp.com 400 1614308347530717000 1614308347910012000 49
170 i2.wp.com 400 1614308347530796000 1614308347929008000 49
166 imgur.com 200 1614308347530758000 1614308347973904000 6223
11 googletagmanager.com 400 1614308347530003000 1614308347989872000 1555
138 wendyssubway.com 200 1614308347531055000 1614308348072046000 10463
10 en.wikipedia.org 200 1614308347529923000 1614308348064592000 84191
180 commons.wikimedia.org 200 1614308347531044000 1614308348064595000 172501
9 plus.google.com 200 1614308347529067000 1614308348072697000 72142
92 accounts.google.com 200 1614308347530500000 1614308348109620000 72038
72 httpd.apache.org 200 1614308347530418000 1614308348171064000 9708
99 wikimedia.org 200 1614308347530521000 1614308348205457000 7463
57 theguardian.com 200 1614308347531079000 1614308348191531000 903290
136 open.spotify.com 200 1614308347530935000 1614308348221655000 35230
90 bing.com 200 1614308347530491000 1614308348189282000 67641
7 apple.com 200 1614308347530306000 1614308348237205000 74300
14 vimeo.com 200 1614308347530353000 1614308348269269000 33343
58 cnn.com 200 1614308347531128000 1614308348246852000 1134394
69 issuu.com 200 1614308347530493000 1614308348244278000 79150
59 medium.com 200 1614308347530347000 1614308348385614000 60436
185 etsy.com 200 1614308347531080000 1614308348372203000 248157
5 linkedin.com 200 1614308347529171000 1614308348439854000 81648
194 jimdo.com 200 1614308347531055000 1614308348432231000 204118
16 play.google.com 200 1614308347530362000 1614308348073587000 1138378
30 tumblr.com 200 1614308347530703000 1614308348523574000 37279
43 w3.org 200 1614308347530812000 1614308348527356000 34152
15 adobe.com 200 1614308347530358000 1614308348530642000 128114
100 bloomberg.com 200 1614308347530526000 1614308348634527000 10940
12 youtu.be 200 1614308347530322000 1614308348288941000 562496
108 stanford.edu 200 1614308347530621000 1614308348751536000 71976
28 yahoo.com 200 1614308347530890000 1614308348372187000 516711
121 huffingtonpost.com 200 1614308347530790000 1614308348745910000 364192
91 imdb.com 200 1614308347530496000 1614308348893427000 440144
3 twitter.com 200 1614308347529032000 1614308349029156000 46096
160 springer.com 200 1614308347530672000 1614308348928000000 36128
105 support.mozilla.org 200 1614308347530324000 1614308349089159000 38157
76 m.facebook.com 200 1614308347530563000 1614308349117617000 12754
197 v.qq.com 200 1614308347531128000 1614308348791061000 982137
80 api.whatsapp.com 200 1614308347530582000 1614308349108073000 68450
97 harvard.edu 200 1614308347530562000 1614308349128005000 160713
78 tinyurl.com 200 1614308347530571000 1614308349148924000 4490
101 mit.edu 200 1614308347530531000 1614308349163608000 35097
0 google.com 200 1614308347530383000 1614308349167676000 12925
18 maps.google.com 200 1614308347530385000 1614308349183592000 44428
17 itunes.apple.com 200 1614308347530381000 1614308349206726000 64783
175 dailymotion.com 200 1614308347530986000 1614308349236753000 69630
61 bbc.co.uk 200 1614308347530418000 1614308348927954000 313011
19 goo.gl 200 1614308347530562000 1614308349234062000 243105
113 businessinsider.com 200 1614308347530666000 1614308349253021000 391662
177 free.fr 200 1614308347531021000 1614308349279965000 133605
13 pinterest.com 200 1614308347528520000 1614308349312424000 89588
96 spotify.com 200 1614308347530558000 1614308349330711000 40814
1 facebook.com 200 1614308347530389000 1614308349317979000 139017
70 weibo.com 200 1614308347530497000 1614308349243494000 61664
79 virginmedia.com 200 1614308347530575000 1614308349211878000 307377
133 nature.com 200 1614308347530922000 1614308349461734000 182210
75 oracle.com 200 1614308347530540000 1614308349522619000 26823
95 opera.com 200 1614308347530534000 1614308349648071000 87745
2 youtube.com 200 1614308347530393000 1614308349082129000 561239
74 paypal.com 200 1614308347530535000 1614308349831120000 98270
168 techcrunch.com 200 1614308347530766000 1614308349797383000 1033555
56 github.io 200 1614308347531097000 1614308349875406000 14374
39 qq.com 200 1614308347530566000 1614308349907786000 101024
112 live.com 200 1614308347530661000 1614308350019006000 36621
73 php.net 200 1614308347530532000 1614308350169758000 44114
84 cdc.gov 200 1614308347530437000 1614308350304719000 154150
94 wpa.qq.com 404 1614308347530529000 1614308350342007000 0
29 mozilla.org 200 1614308347530647000 1614308350380475000 124998
98 slideshare.net 200 1614308347530519000 1614308350405218000 104481
81 msn.com 200 1614308347530602000 1614308350478370000 47658
48 nih.gov 200 1614308347530835000 1614308350685442000 67335
102 policies.google.com 200 1614308347530535000 1614308350682971000 183903
42 reddit.com 200 1614308347530797000 1614308350282085000 830077
41 nytimes.com 200 1614308347530792000 1614308350945418000 1408922
104 web.archive.org 200 1614308347530619000 1614308351027340000 96156
24 wordpress.org 200 1614308347530877000 1614308351162279000 38434
63 archive.org 200 1614308347530449000 1614308351140612000 187962
82 cloudflare.com 200 1614308347530398000 1614308351181701000 164013
106 ibm.com 200 1614308347530609000 1614308351196064000 94451
87 bbc.com 200 1614308347530458000 1614308351192823000 292745
109 developers.google.com 200 1614308347530635000 1614308351220832000 131142
152 hugedomains.com 200 1614308347530628000 1614308351294554000 19796
67 weebly.com 200 1614308347530485000 1614308351387701000 123295
65 ec.europa.eu 200 1614308347530458000 1614308351508845000 7506
60 dropbox.com 200 1614308347530402000 1614308351316463000 297884
4 instagram.com 429 1614308347530116000 1614308351689077000 20776
62 creativecommons.org 200 1614308347530424000 1614308351704187000 90444
6 microsoft.com 200 1614308347530229000 1614308351772448000 227148
83 reuters.com 200 1614308347530432000 1614308351998010000 210837
198 amazon.co.uk 200 1614308347528857000 1614308352245000000 461855
183 themeforest.net 200 1614308347531064000 1614308353602512000 504445
130 time.com 200 1614308347530908000 1614308353684215000 161645
21 blogspot.com 200 1614308347530652000 1614308354532437000 94478
86 wsj.com 404 1614308347530454000 1614308355116314000 785388
159 www.gov.uk 200 1614308347530667000 1614308355124893000 41843
155 doi.org 200 1614308347530651000 1614308355235826000 7453
103 wp.com 200 1614308347530615000 1614308355230746000 214313
20 wordpress.com 200 1614308347530571000 1614308355201968000 214313
88 tools.google.com 200 1614308347530463000 1614308355268605000 224656
111 sciencedirect.com 403 1614308347530657000 1614308355256442000 708109
150 wired.com 200 1614308347530970000 1614308355347311000 734708
64 www.ncbi.nlm.nih.gov 200 1614308347530454000 1614308355385114000 49603
77 l.facebook.com 200 1614308347530567000 1614308355394638000 142285
154 office.com 200 1614308347530647000 1614308355425764000 109586
66 who.int 200 1614308347530462000 1614308355413713000 124989
32 go.microsoft.com 200 1614308347530713000 1614308355456915000 229154
156 npr.org 200 1614308347530655000 1614308355528818000 176990
157 blogger.com 200 1614308347530659000 1614308355563766000 94478
110 windows.microsoft.com 200 1614308347530637000 1614308355654808000 170854
158 cnbc.com 200 1614308347530663000 1614308355678474000 988309
115 telegraph.co.uk 200 1614308347530750000 1614308355851646000 257391
89 gnu.org 200 1614308347530487000 1614308355889938000 31834
153 debian.org 200 1614308347530643000 1614308355904759000 14398
142 mp.weixin.qq.com 200 1614308347530949000 1614308356245528000 42721
68 vk.com 200 1614308347530489000 1614308356430500000 24027
162 taobao.com 200 1614308347530713000 1614308358074112000 384899
85 washingtonpost.com 200 1614308347530449000 1614308361323897000 1170591
140 un.org 200 1614308347530906000 1614308361579027000 11707
23 github.com 200 1614308347530661000 1614308363570154000 196935
120 forms.gle 400 1614308347530786000 1614308363630141000 9254
176 chrome.google.com 200 1614308347530990000 1614308363636537000 224656
116 validator.w3.org 200 1614308347530755000 1614308363665835000 27142
22 bit.ly 200 1614308347530656000 1614308363669460000 49616
34 drive.google.com 200 1614308347530811000 1614308363671302000 72335
123 cpanel.net 200 1614308347530838000 1614308363683903000 33884
125 bitly.com 200 1614308347530849000 1614308363693505000 49616
45 soundcloud.com 200 1614308347530820000 1614308363715727000 12490
46 sites.google.com 200 1614308347530825000 1614308363724705000 72167
35 support.google.com 200 1614308347530817000 1614308363643944000 678650
171 berkeley.edu 200 1614308347530822000 1614308363776034000 51270
164 independent.co.uk 200 1614308347530732000 1614308363774009000 328863
36 gravatar.com 200 1614308347530821000 1614308363918986000 28268
33 flickr.com 200 1614308347530717000 1614308363887537000 318820
114 w.soundcloud.com 403 1614308347530670000 1614308364047308000 2270
174 researchgate.net 200 1614308347530624000 1614308364113128000 36584
25 player.vimeo.com 200 1614308347530881000 1614308364114628000 65010
117 nginx.org 200 1614308347530759000 1614308364132881000 7768
40 apache.org 200 1614308347530568000 1614308364016589000 87168
26 amazon.com 200 1614308347530886000 1614308364102545000 526373
122 sina.com.cn 200 1614308347530794000 1614308367514957000 537029
191 nationalgeographic.com 200 1614308347531043000 1614308372132742000 325023
